CPF,AveragePerformance,Área,Potencial Bruto,Raciocínio,Social,Motivacional,Cultura pontuação,atributo-Capacidade analítica,atributo-Pensamento conceitual,atributo-Reflexão,atributo-Pensamento criativo,atributo-Planejamento e organização,atributo-Comunicação,atributo-Consideração pelos outros,atributo-Influência,atributo-Sociabilidade,atributo-Facilitação,atributo-Flexibilidade,atributo-Estabilidade emocional,atributo-Ambição,atributo-Iniciativa,atributo-Assertividade,atributo-Tomada de riscos,perfil-Capacidade analítica,perfil-Pensamento conceitual,perfil-Reflexão,perfil-Pensamento criativo,perfil-Planejamento e organização,perfil-Comunicação,perfil-Consideração pelos outros,perfil-Influência,perfil-Sociabilidade,perfil-Facilitação,perfil-Flexibilidade,perfil-Estabilidade emocional,perfil-Ambição,perfil-Iniciativa,perfil-Assertividade,perfil-Tomada de riscos
734.169.058-57,1.6666666666666667,Operações,62.53,90.06,27.78,67.14,72.19,100.0,83.72,73.8,73.8,73.8,25.15,25.15,25.15,19.17,35.38,31.97,54.29,57.7,80.78,67.93,50.88,90.56,46.5,28.32,28.32,28.32,46.5,46.5,46.5,37.41,60.14,55.59,32.86,37.41,69.23,51.05,28.32
910.275.348-13,1.6666666666666667,Comercial,,,,,62.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725.964.381-19,2.3333333333333335,Operações,,14.26,,,21.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459.873.216-46,2.3333333333333335,Operações,,81.08,,,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.847.263-18,1.6666666666666667,Comercial,45.75,52.82,40.95,41.17,28.03,63.83,36.56,39.97,33.15,74.06,38.32,38.32,31.5,45.14,58.78,24.69,59.0,21.5,24.91,45.36,38.54,64.68,28.32,32.86,23.77,78.32,46.5,46.5,37.41,55.59,73.77,28.32,73.77,23.77,28.32,55.59,46.5
601.894.275-58,2.0,Comercial,68.28,60.13,67.28,82.73,44.12,67.73,71.14,54.1,47.28,57.51,82.56,68.07,61.25,57.84,71.48,57.84,81.76,91.98,83.46,86.87,56.24,60.14,64.68,41.95,32.86,46.5,73.77,51.05,41.95,37.41,55.59,37.41,51.05,78.32,55.59,64.68,14.68
724.309.186-51,2.0,Operações,,72.16,,,33.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296.370.184-51,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329.840.157-97,1.6666666666666667,Operações,,30.55,,,48.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597.243.610-81,2.0,Operações,43.08,31.37,54.12,46.36,22.55,49.2,25.33,35.56,14.14,35.56,58.31,34.44,48.08,82.79,78.76,41.26,64.19,23.28,26.69,40.33,50.56,73.77,41.95,55.59,19.23,55.59,55.59,23.77,41.95,90.56,82.86,32.86,73.77,19.23,23.77,41.95,55.59
418.762.509-76,2.3333333333333335,Operações,46.7,53.05,50.82,30.78,62.74,47.02,36.79,60.65,67.47,60.65,48.2,68.65,37.97,34.56,24.33,68.65,18.96,41.79,28.15,18.96,34.97,41.95,28.32,60.14,69.23,60.14,46.5,73.77,32.86,28.32,14.68,73.77,32.86,64.68,46.5,32.86,55.59
584.261.903-24,2.0,Operações,,40.76,,,42.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.629.517-15,2.3333333333333335,Comercial,,49.74,,,31.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.603.975-41,2.0,Operações,37.29,36.7,27.78,51.56,26.64,30.67,15.11,57.94,8.29,30.67,31.97,35.38,25.15,42.2,31.97,38.79,52.34,21.66,19.13,48.93,45.52,41.95,14.68,78.32,6.14,41.95,55.59,60.14,46.5,69.23,55.59,64.68,51.05,10.14,8.74,46.5,41.95
841.652.930-24,1.6666666666666667,Operações,,,,,63.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438.507.692-83,2.3333333333333335,Operações,,90.04,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945.260.781-58,2.3333333333333335,Comercial,67.19,68.97,83.74,41.17,17.81,49.3,56.12,69.76,52.71,69.76,94.2,97.61,80.56,89.08,92.49,83.97,38.54,28.32,31.73,48.77,38.54,23.77,32.86,51.05,28.32,51.05,82.86,90.56,46.5,69.23,78.32,55.59,46.5,32.86,37.41,60.14,46.5
932.678.501-77,1.6666666666666667,Operações,,29.45,,,65.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613.827.905-11,2.3333333333333335,Comercial,,10.14,,,16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.135.487-37,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804.572.369-65,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.761.935-59,1.6666666666666667,Operações,,47.31,,,40.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.871.506-11,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
081.294.736-31,1.6666666666666667,Operações,59.14,49.52,60.7,72.34,44.66,50.31,33.26,29.85,63.94,50.31,64.89,54.67,37.62,51.26,78.53,75.12,85.08,52.67,76.53,39.03,76.53,51.05,28.32,23.77,69.23,51.05,55.59,41.95,19.23,37.41,73.77,69.23,73.77,23.77,55.59,8.74,55.59
562.403.879-83,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894.021.357-23,2.0,Comercial,,75.92,,,61.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395.280.617-11,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.502.864-24,2.0,Comercial,,58.89,,,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483.560.921-24,1.6666666666666667,Comercial,,61.18,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726.841.590-76,2.0,Comercial,,39.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075.968.241-11,1.6666666666666667,Comercial,,66.71,,,47.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684.507.132-26,1.6666666666666667,Operações,,25.41,,,25.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780.516.943-84,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908.654.173-93,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379.845.610-11,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.074.962-16,1.6666666666666667,Operações,,41.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.741.956-67,1.6666666666666667,Operações,,70.37,,,33.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.745.163-73,2.0,Operações,,52.27,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435.129.687-91,2.3333333333333335,Comercial,,,,,67.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082.613.549-89,2.3333333333333335,Comercial,,56.36,,,45.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801.765.243-71,2.0,Operações,,78.36,,,55.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936.120.458-14,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348.715.609-11,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392.607.845-65,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.746.095-83,2.3333333333333335,Comercial,,45.57,,,49.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401.283.579-32,1.6666666666666667,Operações,,33.57,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896.735.102-11,2.0,Comercial,,25.62,,,32.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.581.027-81,1.6666666666666667,Comercial,33.19,21.4,40.95,41.17,27.69,17.69,12.57,19.39,2.34,59.69,69.0,24.69,21.28,51.96,62.19,38.32,35.13,19.04,31.73,21.5,12.23,41.95,28.32,46.5,7.44,93.16,87.41,28.32,23.77,64.68,78.32,46.5,41.95,19.23,37.41,23.77,7.44
285.130.649-98,2.3333333333333335,Comercial,,50.14,,,55.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964.831.072-69,2.0,Operações,,36.01,,,44.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023.741.986-69,1.6666666666666667,Comercial,,56.48,,,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563.978.124-64,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036.478.921-22,2.3333333333333335,Comercial,,62.19,,,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.610.248-14,1.6666666666666667,Comercial,,53.19,,,57.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847.613.029-51,2.3333333333333335,Operações,26.59,9.59,24.49,56.75,60.9,13.48,13.48,10.07,13.48,27.42,28.68,17.52,28.68,28.68,35.5,17.52,67.76,47.31,47.31,54.13,47.31,46.5,46.5,37.41,46.5,73.77,55.59,37.41,55.59,55.59,64.68,37.41,64.68,37.41,37.41,46.5,37.41
374.061.582-62,2.3333333333333335,Comercial,49.48,33.33,73.87,41.17,47.37,37.52,51.16,16.83,47.75,23.88,50.79,78.06,67.83,54.2,64.43,85.85,28.32,76.04,28.32,59.0,41.95,55.59,73.77,23.77,69.23,37.41,19.23,55.59,41.95,23.77,37.41,73.77,32.86,91.86,32.86,73.77,51.05
630.721.495-34,1.6666666666666667,Comercial,,59.44,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.376.824-82,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768.315.920-41,1.6666666666666667,Operações,21.91,22.39,11.32,35.97,36.39,36.81,18.18,36.81,33.4,11.36,0.71,5.82,19.46,5.82,22.33,22.33,43.58,43.58,33.35,40.17,18.15,69.23,41.95,69.23,64.68,23.77,10.14,23.77,60.14,23.77,64.68,64.68,60.14,60.14,46.5,55.59,23.77
812.435.976-82,1.6666666666666667,Operações,,30.6,,,46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018.237.964-78,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.130.459-98,2.0,Operações,,,40.95,41.17,48.52,,,,,,,,,,,,,,,,,55.59,41.95,37.41,55.59,46.5,37.41,37.41,55.59,46.5,60.14,55.59,46.5,46.5,60.14,60.14,37.41
782.965.314-37,2.3333333333333335,Comercial,,70.22,,,48.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320.514.976-99,2.3333333333333335,Operações,,25.08,,,38.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730.516.248-53,1.6666666666666667,Operações,,75.08,,,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607.321.954-71,1.6666666666666667,Comercial,,40.15,,,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016.489.527-21,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654.038.297-92,2.0,Operações,,,,,53.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635.489.720-47,2.0,Operações,,46.5,,,28.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695.140.328-71,1.6666666666666667,Operações,,,,,20.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063.487.195-11,2.0,Comercial,,59.87,,,44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873.194.506-66,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835.769.210-95,1.6666666666666667,Comercial,34.07,25.02,24.49,61.95,49.73,32.63,29.22,22.4,32.63,42.85,21.86,21.86,14.11,10.7,25.27,19.23,69.55,81.59,55.91,49.1,38.87,60.14,55.59,46.5,60.14,73.77,46.5,46.5,28.32,19.23,51.05,41.95,60.14,78.32,41.95,32.86,19.23
086.497.312-87,2.0,Comercial,59.41,66.79,63.99,41.17,39.04,90.83,74.4,70.99,60.76,60.76,61.37,64.78,84.32,61.37,27.28,71.59,41.95,38.54,45.36,21.5,45.36,91.86,60.14,55.59,41.95,41.95,46.5,51.05,82.86,46.5,7.44,60.14,51.05,46.5,55.59,23.77,55.59
786.109.532-11,2.3333333333333335,Operações,49.24,41.0,60.7,46.36,27.1,41.78,28.15,24.74,34.97,65.65,64.89,68.3,61.48,61.48,61.48,54.67,67.6,50.56,43.74,23.28,40.33,51.05,32.86,28.32,41.95,82.86,55.59,60.14,51.05,51.05,51.05,41.95,78.32,55.59,46.5,19.23,41.95
193.280.645-89,1.6666666666666667,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.465.829-49,2.0,Operações,,56.46,,,38.66,,,,,,,,,,,,,,,,,37.41,55.59,64.68,23.77,32.86,41.95,55.59,60.14,46.5,69.23,55.59,37.41,60.14,51.05,28.32,41.95
753.490.286-18,1.6666666666666667,Operações,53.49,43.37,73.87,41.17,70.61,50.97,27.11,16.74,30.52,27.11,67.83,43.97,90.96,92.67,78.06,67.83,38.54,24.91,48.77,55.59,41.95,60.14,28.32,10.14,32.86,28.32,41.95,10.14,87.41,90.56,55.59,41.95,46.5,28.32,60.14,69.23,51.05
946.531.087-57,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.865.134-17,2.3333333333333335,Operações,40.29,17.54,50.82,61.95,52.3,35.37,25.14,5.53,25.14,31.96,44.79,55.02,44.79,48.2,55.02,44.79,83.3,62.73,76.37,42.28,59.32,73.77,60.14,14.68,60.14,69.23,41.95,55.59,41.95,46.5,55.59,41.95,82.86,51.05,69.23,23.77,46.5
591.682.043-71,2.0,Comercial,37.18,14.44,34.36,77.53,39.64,19.31,14.2,9.09,14.2,17.61,31.74,35.15,45.37,45.37,21.51,35.15,71.5,84.27,74.91,82.57,74.91,55.59,41.95,28.32,41.95,51.05,46.5,51.05,64.68,64.68,32.86,51.05,41.95,64.68,46.5,60.14,46.5
751.832.640-15,1.6666666666666667,Comercial,46.87,23.89,47.53,82.73,30.69,8.7,38.31,18.93,45.13,24.67,34.68,48.31,48.31,27.86,24.45,51.72,76.69,86.87,85.16,66.47,76.69,14.68,69.23,41.95,78.32,51.05,32.86,51.05,51.05,23.77,19.23,55.59,41.95,64.68,60.14,28.32,41.95
275.941.368-37,2.0,Operações,64.03,52.0,60.7,87.92,46.03,69.83,49.38,25.52,19.35,59.61,64.89,54.67,80.97,87.79,68.3,51.26,96.28,87.76,75.07,78.48,75.07,73.77,46.5,14.68,8.74,60.14,55.59,41.95,78.32,91.86,60.14,37.41,82.86,60.14,32.86,37.41,32.86
731.842.069-12,2.3333333333333335,Comercial,,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781.093.456-21,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962.570.138-95,2.3333333333333335,Comercial,,45.12,,,74.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518.260.437-81,2.0,Operações,,39.21,,,48.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728.536.901-21,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795.842.016-11,2.0,Comercial,30.62,27.24,34.36,30.78,47.54,28.02,31.43,12.08,28.02,45.07,55.6,24.92,52.19,69.24,17.35,41.96,15.55,38.38,28.15,18.96,31.56,51.05,55.59,19.23,51.05,73.77,78.32,37.41,73.77,91.86,23.77,60.14,23.77,60.14,46.5,32.86,51.05
149.723.085-32,2.3333333333333335,Operações,,64.05,,,44.48,,,,,,,,,,,,,,,,,60.14,32.86,51.05,10.14,60.14,73.77,55.59,69.23,73.77,69.23,37.41,41.95,41.95,51.05,32.86,37.41
703.529.186-59,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401.289.753-51,1.6666666666666667,Comercial,26.89,22.96,21.19,41.17,52.73,37.38,27.15,3.12,18.46,20.33,35.61,15.88,17.58,49.25,19.28,14.17,45.36,38.54,62.41,17.34,31.73,69.23,55.59,7.44,41.95,46.5,69.23,37.41,41.95,87.41,46.5,32.86,55.59,46.5,78.32,14.68,37.41
563.728.914-17,2.0,Comercial,,36.19,,,30.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470.612.893-51,2.0,Operações,,58.22,,,50.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712.968.053-95,2.3333333333333335,Operações,,36.27,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.469.837-84,2.3333333333333335,Operações,,64.79,,,59.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524.986.371-17,2.0,Comercial,,57.96,,,48.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.465.781-94,1.6666666666666667,Operações,,82.42,,,53.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078.916.324-13,1.6666666666666667,Operações,55.28,46.75,63.99,56.75,62.62,37.3,40.71,50.94,18.42,61.17,68.18,80.91,68.18,54.55,80.91,57.96,74.58,67.76,50.72,43.9,30.26,37.41,41.95,55.59,10.14,69.23,55.59,73.77,55.59,37.41,73.77,41.95,73.77,64.68,41.95,32.86,14.68
380.175.964-48,2.0,Comercial,,34.04,,,25.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893.621.075-11,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.042.396-51,1.6666666666666667,Operações,,12.49,,,27.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479.582.301-41,1.6666666666666667,Operações,47.11,39.61,37.65,72.34,34.85,54.03,40.39,36.98,36.98,43.8,41.85,28.21,41.85,41.85,38.44,24.8,79.94,69.71,69.71,59.49,62.89,69.23,51.05,46.5,46.5,55.59,55.59,37.41,55.59,55.59,51.05,32.86,60.14,46.5,46.5,32.86,37.41
564.893.207-38,2.0,Comercial,,49.72,,,45.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789.340.512-13,1.6666666666666667,Operações,,14.07,,,27.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.936.048-13,1.6666666666666667,Operações,,51.44,,,28.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634.590.178-48,2.3333333333333335,Operações,,68.04,,,85.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982.157.643-55,2.3333333333333335,Operações,,23.01,,,28.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824.190.356-15,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.017.824-88,2.0,Comercial,,58.91,,,59.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035.281.964-24,1.6666666666666667,Comercial,12.25,7.98,11.32,20.39,26.24,14.38,5.86,19.5,0.0,19.5,2.41,9.23,16.05,35.96,0.71,22.33,13.77,18.88,31.4,41.63,5.25,51.05,28.32,64.68,10.14,64.68,14.68,32.86,51.05,82.86,10.14,64.68,32.86,46.5,64.68,78.32,10.14
503.927.846-29,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651.470.892-76,1.6666666666666667,Operações,58.32,68.0,40.95,67.14,53.87,82.91,72.19,44.92,48.33,41.51,24.69,45.14,65.59,55.37,41.73,51.96,71.34,82.49,61.11,71.34,74.75,73.77,55.59,19.23,23.77,14.68,28.32,55.59,82.86,69.23,51.05,64.68,55.59,73.77,41.95,55.59,60.14
254.186.903-71,2.3333333333333335,Operações,30.76,29.0,17.9,51.56,33.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364.591.078-66,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462.159.378-19,1.6666666666666667,Comercial,,26.97,,,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706.451.298-11,2.0,Comercial,,,,,48.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.197.053-11,1.6666666666666667,Operações,,,,,54.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804.162.795-11,2.0,Operações,,48.49,,,49.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865.139.274-55,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382.651.947-73,2.0,Operações,41.45,26.19,44.24,61.95,22.01,9.85,44.02,54.25,20.16,33.79,34.8,62.07,18.88,24.57,17.17,68.89,52.5,83.3,52.5,59.32,59.32,14.68,73.77,87.41,41.95,60.14,37.41,73.77,14.68,23.77,10.14,82.86,37.41,82.86,37.41,46.5,46.5
794.218.653-91,1.6666666666666667,Operações,,56.63,,,38.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901.638.475-84,2.3333333333333335,Operações,,69.73,,,53.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324.168.507-17,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971.685.042-58,1.6666666666666667,Comercial,,45.12,,,54.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691.725.830-11,2.3333333333333335,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807.596.314-84,1.6666666666666667,Comercial,60.87,68.66,77.16,25.58,66.06,76.26,45.58,59.22,62.63,76.26,71.13,80.68,77.94,89.2,85.79,80.68,22.96,33.19,14.66,26.37,12.96,60.14,19.23,37.41,41.95,60.14,41.95,55.59,51.05,78.32,69.23,55.59,46.5,60.14,28.32,51.05,23.77
238.416.750-26,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.615.748-44,2.3333333333333335,Operações,34.45,27.81,40.95,35.97,13.07,17.48,17.48,35.41,17.48,32.0,48.55,51.96,17.23,21.28,48.55,48.55,29.94,33.35,23.12,19.86,23.12,32.86,32.86,60.14,32.86,55.59,60.14,64.68,14.68,23.77,60.14,60.14,41.95,46.5,32.86,28.32,32.86
437.592.160-99,1.6666666666666667,Operações,,63.83,,,57.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518.327.964-18,2.3333333333333335,Comercial,68.31,79.31,63.99,56.75,29.99,83.46,80.05,81.75,73.28,83.46,37.5,64.78,51.14,47.73,68.18,51.14,71.17,47.31,54.13,60.95,50.72,60.14,51.05,55.59,41.95,60.14,14.68,51.05,32.86,28.32,55.59,32.86,69.23,37.41,46.5,55.59,41.95
570.839.261-41,1.6666666666666667,Operações,,65.32,,,33.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976.482.031-11,1.6666666666666667,Operações,,88.69,,,59.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.389.542-88,2.3333333333333335,Comercial,,,,,19.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762.149.358-55,2.3333333333333335,Comercial,,14.38,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729.801.356-41,2.0,Operações,,,,,34.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.547.936-46,2.3333333333333335,Operações,,,21.19,51.56,33.65,,,,,,,,,,,,,,,,,78.32,23.77,51.05,14.68,69.23,60.14,14.68,55.59,51.05,46.5,41.95,51.05,32.86,28.32,64.68,51.05
401.739.258-12,1.6666666666666667,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647.501.928-31,1.6666666666666667,Operações,71.73,68.28,90.09,51.56,36.6,86.46,65.65,55.43,48.61,58.84,88.85,85.44,77.24,85.44,99.08,88.85,62.57,45.52,59.16,38.71,25.07,82.86,46.5,32.86,23.77,37.41,60.14,51.05,32.86,51.05,87.41,60.14,64.68,41.95,60.14,32.86,14.68
965.341.872-64,2.3333333333333335,Comercial,,,93.86,51.56,,,,,,,,,,,,,,,,,,55.59,64.68,28.32,51.05,14.68,73.77,46.5,55.59,32.86,60.14,51.05,60.14,55.59,60.14,28.32,41.95
942.357.106-99,2.0,Comercial,,41.03,,,32.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972.408.561-94,2.0,Comercial,,24.02,,,31.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071.985.436-93,1.6666666666666667,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829.064.513-98,1.6666666666666667,Comercial,,52.23,,,18.06,,,,,,,,,,,,,,,,,46.5,32.86,23.77,32.86,90.56,69.23,78.32,46.5,55.59,46.5,60.14,55.59,37.41,55.59,37.41,28.32
641.702.895-11,2.3333333333333335,Comercial,,52.98,,,80.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.418.590-79,2.0,Comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849.125.730-61,2.0,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509.743.126-14,2.0,Operações,,45.36,,,36.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851.209.364-15,2.0,Operações,38.06,28.57,54.12,30.78,58.17,49.8,17.86,14.45,39.58,29.35,61.72,48.08,58.31,75.35,61.72,44.67,45.2,28.15,17.26,45.2,34.97,78.32,32.86,23.77,64.68,51.05,60.14,41.95,55.59,78.32,60.14,37.41,69.23,46.5,28.32,69.23,55.59
514.803.672-91,1.6666666666666667,Operações,65.2,68.3,63.99,61.95,38.91,75.9,81.36,79.31,38.4,52.04,71.59,57.96,84.32,78.41,84.32,51.14,25.23,52.5,69.55,52.5,35.46,60.14,69.23,64.68,10.14,28.32,60.14,41.95,82.86,69.23,82.86,32.86,7.44,37.41,60.14,37.41,14.68
324.798.015-61,2.3333333333333335,Operações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.436.897-18,2.3333333333333335,Comercial,,47.5,,,54.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436.185.029-15,2.0,Operações,,69.66,,,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529.410.376-16,2.0,Operações,,37.75,,,47.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.648.052-16,2.0,Comercial,63.34,69.02,54.12,67.14,49.17,91.95,66.4,66.4,73.22,56.17,17.0,61.72,48.08,44.67,71.94,34.44,91.01,44.06,57.7,80.78,71.34,91.86,46.5,46.5,55.59,32.86,6.14,60.14,41.95,37.41,73.77,23.77,91.86,19.23,37.41,69.23,55.59
435.217.860-81,1.6666666666666667,Comercial,,53.39,,,52.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.968.724-41,2.0,Comercial,,23.48,,,27.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512.689.370-11,1.6666666666666667,Operações,,22.82,,,30.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
