CPF,Performance 1º/2019,Performance 2º/2018,Performance 1º/2018,Performance 2º 2017
096.714.238-51,1,3,,
981.430.752-14,2,3,,
239.765.480-65,2,3,,
482.961.057-31,2,2,,
920.751.863-59,2,1,,
354.268.197-18,1,1,,
820.791.643-51,1,1,,
613.870.249-22,3,1,,
901.265.843-89,2,3,,
978.603.541-11,2,2,,
745.083.926-11,1,1,,
013.764.928-22,3,2,,
197.380.624-11,2,3,,
719.632.854-17,2,1,,
136.285.049-71,2,3,,
190.624.783-87,1,1,,
864.930.217-31,2,2,,
614.780.529-11,2,2,,
906.514.372-61,2,1,,
945.380.167-48,1,1,,
492.367.180-78,2,3,,
893.546.702-29,2,1,,
254.319.670-61,2,1,,
142.730.596-14,2,1,,
290.574.861-31,1,1,,
654.930.281-15,2,3,,
260.574.193-16,3,3,,
928.137.546-17,2,2,,
975.602.814-94,2,2,,
570.124.839-97,2,3,,
231.085.769-68,1,3,,
703.285.169-11,2,1,,
803.261.594-61,2,1,,
037.146.985-66,1,2,,
206.849.571-67,2,3,,
056.831.479-48,1,1,,
409.613.257-81,2,1,,
682.097.513-95,1,1,,
560.172.843-71,2,1,,
135.204.786-17,2,1,,
749.523.618-37,3,2,,
173.945.802-88,3,3,,
563.021.489-61,2,3,,
306.495.812-71,2,3,,
760.243.189-87,3,3,,
765.102.438-91,2,2,,
653.824.709-11,2,3,,
741.280.593-23,2,3,,
302.185.679-95,2,2,,
925.607.843-19,3,3,,
238.169.405-61,1,1,,
312.465.098-14,1,2,,
876.319.520-86,1,2,,
170.893.462-69,3,1,,
608.592.143-89,2,1,,
178.064.923-13,2,3,,
791.630.452-14,,1,,
254.397.801-14,2,1,,
492.671.805-76,1,1,,
843.217.596-17,2,3,,
987.610.435-75,3,1,,
183.490.567-21,2,3,,
832.075.194-23,2,2,,
231.890.574-61,1,1,,
328.576.091-59,2,1,,
109.728.643-69,2,3,,
924.735.618-18,,3,,
651.382.409-51,2,1,,
831.970.546-11,1,1,,
256.389.104-33,2,1,,
590.871.243-41,2,2,,
763.094.581-75,2,3,,
604.781.352-62,2,3,,
920.675.834-92,2,3,,
530.729.684-38,1,1,,
385.297.614-64,3,2,,
846.079.231-51,3,2,,
930.426.851-61,2,1,,
682.043.179-13,1,3,,
759.163.024-52,2,3,,
469.805.217-31,3,1,,
587.421.369-46,2,3,,
706.385.421-62,2,1,,
351.720.984-88,2,2,,
948.756.201-11,2,2,,
398.402.571-88,1,2,,
723.908.651-86,2,2,,
529.438.706-92,1,2,,
152.986.734-73,3,2,,
296.435.718-82,3,3,,
508.917.362-12,3,3,,
756.948.302-29,2,3,,
034.976.182-51,2,1,,
842.039.156-51,1,3,,
195.072.836-68,2,3,,
764.013.825-62,1,1,,
964.071.532-81,3,2,,
479.685.013-93,2,1,,
758.903.426-65,2,2,,
968.417.352-18,2,2,,
298.657.104-21,2,1,,
412.085.736-16,,2,,
023.469.875-65,2,2,,
719.084.325-61,2,3,,
072.389.615-12,3,1,,
743.208.165-44,1,1,,
013.469.857-66,2,3,,
743.926.085-65,3,2,,
901.527.684-67,3,3,,
918.452.370-13,3,3,,
930.872.514-88,2,3,,
672.450.391-43,2,2,,
861.209.437-22,2,3,,
698.740.123-31,2,2,,
218.467.953-46,2,3,,
254.896.307-11,1,2,,
782.694.135-18,2,1,,
018.649.523-42,2,3,,
458.963.170-93,3,1,,
340.759.628-65,1,1,,
654.021.938-51,2,2,,
849.726.031-78,3,3,,
081.953.746-21,3,1,,
085.634.921-61,2,1,,
032.964.581-15,1,1,,
803.479.156-39,2,1,,
920.476.358-29,2,2,,
087.561.293-86,2,1,,
671.092.584-67,3,2,,
623.947.058-92,2,1,,
094.518.263-51,1,3,,
287.603.451-44,1,2,,
463.127.980-11,3,1,,
451.067.328-16,3,3,,
216.459.783-46,2,1,,
673.910.584-75,3,2,,
216.507.943-81,1,3,,
209.438.671-69,1,3,,
452.670.938-74,3,1,,
970.652.418-58,1,3,,
302.591.876-41,2,1,,
798.413.560-66,3,1,,
845.931.067-11,1,3,,
961.702.435-71,1,2,,
920.854.736-11,2,2,,
041.786.235-16,2,3,,
062.398.571-31,1,3,,
026.897.543-47,1,3,,
918.236.057-11,2,2,,
490.613.827-69,3,1,,
135.870.294-23,1,2,,
037.948.165-11,3,2,,
017.246.583-44,2,1,,
760.589.324-83,3,3,,
706.219.348-87,3,3,,
869.135.740-11,2,3,,
238.109.467-96,1,3,,
193.807.425-41,3,3,,
820.943.175-79,2,2,,
142.950.687-31,2,1,,
407.951.382-88,1,2,,
452.698.730-11,1,2,,
936.412.078-78,1,1,,
526.180.793-11,3,3,,
120.356.849-51,2,3,,
194.327.658-73,2,3,,
372.596.408-47,3,2,,
681.304.975-57,2,3,,
582.310.796-11,1,3,,
163.840.957-93,2,1,,
459.126.870-58,1,2,,
289.354.176-37,2,3,,
513.864.027-53,2,2,,
471.526.093-14,3,1,,
219.865.740-67,1,1,,
175.380.629-12,1,2,,
689.057.143-66,2,1,,
794.682.513-73,3,2,,
430.682.951-14,3,3,,
801.534.276-71,3,2,,
386.970.514-11,2,1,,
127.648.309-12,2,3,,
126.489.750-21,2,3,,
403.857.126-26,2,1,,
207.918.536-59,2,1,,
473.185.096-75,2,1,,
704.986.532-18,1,2,,
670.928.135-31,2,2,,
769.412.805-49,3,2,,
217.083.649-78,3,1,,
312.457.098-79,2,3,,
805.142.967-21,2,2,,
450.782.691-85,3,1,,
079.324.561-34,2,3,,
921.568.370-41,2,3,,
804.956.127-58,1,3,,
734.890.126-31,3,3,,
280.734.159-41,3,2,,
035.619.247-43,2,3,,
675.413.290-61,2,1,,
105.874.263-91,3,3,,
865.327.409-18,3,1,,
246.307.589-92,1,2,,
703.612.948-41,3,1,,
721.594.836-64,2,3,,
467.208.391-87,2,3,,
814.509.627-85,1,1,,
248.316.957-18,3,2,,
263.947.158-91,3,3,,
514.362.907-16,1,2,,
709.123.465-15,1,3,,
295.017.836-77,2,1,,
861.423.970-11,2,1,,
784.651.320-62,1,3,,
098.273.645-29,1,3,,
623.058.149-33,3,3,,
048.527.169-94,1,1,,
513.246.087-91,3,2,,
261.493.075-14,1,2,,
402.813.597-41,3,3,,
270.918.364-13,1,1,,
346.957.021-34,3,1,,
514.897.360-93,3,3,,
789.015.263-95,1,3,,
531.296.470-15,1,1,,
823.510.467-91,1,3,,
185.293.640-15,3,2,,
754.861.302-44,3,1,,
732.841.965-28,3,3,,
387.204.915-14,1,3,,
795.631.482-82,2,3,,
102.497.865-67,3,1,,
519.724.083-13,3,2,,
863.927.104-69,2,2,,
387.106.592-77,3,3,,
160.538.794-11,2,1,,
361.942.507-81,1,2,,
824.601.753-53,1,3,,
192.675.483-28,2,1,,
856.103.472-62,1,3,,
239.670.584-92,3,2,,
869.352.417-82,1,1,,
368.109.542-61,2,2,,
709.314.258-32,3,3,,
532.098.716-12,1,1,,
462.591.037-43,1,3,,
165.874.329-64,2,3,,
396.275.108-41,1,3,,
893.642.170-12,2,2,,
857.296.340-56,1,2,,
367.890.412-22,2,3,,
619.574.328-37,3,2,,
037.562.941-61,3,2,,
328.507.694-11,3,2,,
259.631.047-34,1,1,,
276.431.908-87,3,1,,
983.056.712-59,2,3,,
912.036.847-11,3,3,,
237.195.086-68,2,2,,
397.684.512-46,3,2,,
649.781.305-57,1,3,,
091.685.372-12,2,2,,
485.326.791-37,1,2,,
258.469.107-85,3,2,,
352.709.641-81,1,1,,
164.739.280-22,2,1,,
504.123.987-88,3,2,,
125.384.697-91,3,1,,
427.963.105-15,2,3,,
023.149.786-51,3,3,,
173.590.842-88,2,1,,
728.045.963-38,3,3,,
257.419.068-85,3,1,,
712.950.348-32,1,3,,
968.514.072-31,2,2,,
547.213.690-34,2,1,,
501.438.927-97,3,3,,
371.402.859-51,3,1,,
703.581.264-44,3,2,,
168.295.407-21,1,2,,
301.249.685-89,3,1,,
507.361.984-66,2,2,,
481.507.926-94,2,2,,
701.392.854-23,2,1,,
869.237.140-87,2,3,,
398.502.164-33,3,1,,
452.807.136-35,2,3,,
231.890.764-13,2,3,,
792.683.501-31,2,3,,
721.546.830-53,1,1,,
597.283.016-77,1,1,,
513.279.480-79,1,3,,
590.162.784-94,1,1,,
187.923.046-13,3,3,,
642.309.518-33,2,2,,
196.385.704-66,2,1,,
136.589.270-11,3,1,,
501.782.364-62,1,1,,
295.106.437-34,1,2,,
815.429.370-61,2,3,,
392.654.071-15,1,1,,
682.519.703-77,3,3,,
850.436.921-89,2,3,,
489.103.526-98,2,1,,
182.435.067-81,2,1,,
097.235.416-61,3,3,,
892.530.764-29,1,1,,
368.091.472-51,1,1,,
964.302.518-71,2,3,,
421.596.870-49,2,1,,
796.582.413-28,1,2,,
341.270.658-26,1,3,,
975.603.241-34,2,1,,
513.940.682-98,3,3,,
465.730.982-18,3,2,,
742.895.160-76,2,3,,
140.385.726-17,3,1,,
037.249.516-81,3,2,,
413.685.720-91,2,1,,
652.019.743-25,2,2,,
824.635.790-56,1,1,,
842.167.503-62,3,1,,
481.920.735-13,2,2,,
475.193.206-34,1,3,,
823.761.504-26,3,3,,
540.169.273-15,2,3,,
265.410.937-25,3,3,,
758.916.203-59,3,3,,
674.230.589-47,1,1,,
214.865.907-31,3,1,,
513.970.826-41,1,2,,
263.971.450-34,2,3,,
349.502.817-12,2,2,,
859.076.321-86,1,2,,
602.954.138-24,2,3,,
104.956.873-75,2,3,,
276.485.139-19,1,2,,
536.180.297-21,3,3,,
842.397.150-32,1,2,,
521.647.983-17,2,3,,
352.049.768-92,3,3,,
936.581.427-82,2,1,,
468.731.520-81,1,3,,
802.651.734-26,3,2,,
130.265.987-12,1,3,,
071.548.693-48,3,1,,
012.598.437-51,2,1,,
375.149.286-18,2,1,,
053.679.481-21,3,2,,
106.492.573-16,1,2,,
964.051.273-71,3,2,,
973.680.254-18,1,3,,
061.542.937-81,,,,
425.710.986-67,,,,
087.295.643-11,,,,
306.518.249-15,,,,
385.062.149-98,,,,
874.560.329-47,,,,
461.208.593-14,,,,
029.184.637-87,,,,
081.356.794-75,,,,
803.467.259-92,,,,
972.486.350-65,,,,
036.549.827-19,,,,
392.581.406-13,,,,
395.802.417-32,,,,
340.198.275-32,,,,
384.570.912-12,,,,
604.152.973-71,,,,
837.962.540-47,,,,
063.248.159-51,,,,
463.715.892-37,,,,
594.607.381-84,,,,
478.012.695-94,,,,
